B06007_002E,B06007_003E,B06007_004E,B06007_005E,B06007_006E,B06010_002E,B06010_003E,B06010_004E,B06010_005E,B06010_006E,B06010_007E,B06010_008E,B06010_009E,B06010_010E,B06010_011E,B06009_002E,B06009_003E,B06009_004E,B06009_005E,B06009_006E,B06008_007E,state,county,tract
3009,509,382,127,275,454,2776,688,366,513,353,454,180,49,173,261,1075,1056,222,166,517,12,053,041201
3506,254,254,0,142,468,3012,694,407,624,398,405,255,66,163,422,983,1011,378,113,520,12,053,041203
2790,327,176,151,82,445,2383,722,343,566,338,260,70,25,59,525,938,737,204,49,417,12,053,041204
2390,401,288,113,113,207,2432,546,428,616,253,250,128,114,97,264,827,923,263,67,428,12,053,041302
2338,9,9,0,69,77,2331,371,303,395,394,423,172,95,178,108,846,808,399,247,45,12,053,041303
2035,27,27,0,9,152,1823,206,268,442,318,241,222,36,90,74,759,624,311,125,52,12,053,041304
1312,10,0,10,30,32,1320,181,155,318,248,169,109,49,91,78,411,398,243,212,70,12,053,041305
3936,398,281,117,192,418,3494,666,673,769,580,372,271,49,114,598,1404,1217,261,77,415,12,053,041401
5123,193,85,108,128,595,4258,950,494,883,571,696,383,93,188,601,1645,1550,324,167,855,12,053,041402
2841,82,82,0,79,525,2291,460,306,414,263,331,154,60,303,190,866,858,361,193,371,12,053,041501
3264,171,82,89,148,278,2944,732,408,425,386,383,276,84,250,397,919,988,372,255,239,12,053,041502
5309,292,270,22,136,565,4897,820,682,1069,685,646,419,107,469,612,1642,1519,739,416,1164,12,053,041600
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,053,990000
2724,43,32,11,39,232,2395,433,238,419,460,424,169,136,116,361,837,567,386,214,683,12,055,960101
1347,38,30,8,13,177,975,177,143,234,250,58,58,0,55,156,310,235,202,72,656,12,055,960102
2920,843,635,208,41,569,2744,731,413,621,390,415,108,20,46,259,1150,985,322,176,1194,12,055,960103
3023,691,268,423,96,386,2841,502,507,708,361,349,177,100,137,506,1119,697,230,199,1175,12,055,960200
3013,1567,772,795,239,607,3248,1225,440,812,350,322,62,8,29,980,1017,784,160,23,1302,12,055,960300
4738,1808,1110,698,623,1272,5079,1139,532,1238,947,598,292,43,290,757,1995,1695,632,488,1970,12,055,960400
1103,248,170,78,40,126,1123,255,284,314,66,112,45,18,29,290,558,272,70,6,277,12,055,960501
6180,671,415,256,420,730,5789,1029,886,1112,1012,792,418,182,358,734,1838,2039,815,653,938,12,055,960502
2495,385,203,182,57,283,2449,601,311,556,441,210,174,21,135,413,899,791,158,109,605,12,055,960601
5712,440,260,180,75,466,5429,1121,1061,1153,678,745,342,119,210,702,2135,1763,563,240,837,12,055,960602
3554,409,285,124,22,283,3310,676,466,534,649,391,251,52,291,303,1146,957,520,265,1098,12,055,960700
1638,553,350,203,49,495,1597,495,316,357,180,137,48,27,37,395,648,469,158,42,787,12,055,960800
2201,271,162,109,0,352,1737,537,190,466,224,197,79,17,27,376,789,550,43,79,951,12,055,960900
3222,416,222,194,41,171,3080,418,458,709,420,465,279,67,264,532,1270,913,190,221,939,12,055,961000
2468,871,436,435,81,327,2776,899,503,645,297,204,58,86,84,712,980,799,260,132,623,12,055,961100
3882,836,302,534,44,537,3794,932,1133,910,325,265,136,46,47,931,1474,873,188,125,1288,12,055,961200
5087,781,539,242,204,532,4977,924,322,1072,835,891,410,245,278,418,1367,1866,753,359,1357,12,055,961301
3964,124,58,66,73,292,3598,574,658,830,712,366,109,56,293,546,1309,1280,414,144,872,12,055,961302
4519,329,165,164,126,408,4024,651,469,1039,774,386,291,138,276,514,1542,1373,553,192,1201,12,055,961400
3598,776,374,402,33,450,3590,922,345,866,479,561,168,69,180,595,1528,881,398,120,1162,12,055,961500
923,128,76,52,49,144,902,299,101,143,72,170,60,16,41,198,320,293,90,73,423,12,055,961601
